recipe_name,source,url,servings,calories,image_url,diet_labels,health_labels,cautions,cuisine_type,meal_type,dish_type
Buttered Noodles with Toasted Sage,Delish,https://www.delish.com/cooking/recipe-ideas/recipes/a15165/buttered-noodles-toasted-sage-recipe-fw0211,10,2525.559013303409,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/014d7b64279eb9be9b41a75191ced91b4adcefd408d913f7891e083c6ff9313a/21110141.jpg,[],"[""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""asian""]","[""lunch/dinner""]","[""main course""]"
Broken Noodle Zucchini Soup,gardendish.com,http://www.gardendish.com/broken-noodle-zucchini-soup/,8,2226.594199099732,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0115c909573c8c370bb6ba7ba8645b497893d043aa350a918878d299b2e6c1ae/21111562.jpg,"[""High-Fiber"",""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""asian""]","[""lunch/dinner""]","[""soup""]"
Chicken noodle stir fry,legenrecipes.com,https://legenrecipes.com/recipe/chicken-noodle-stir-fry/,10,2485.9525,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/01bd87b21629698393cf152e748d36c372608fe7670db6e88a02924eb9e9d271/21116193.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Dairy-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""asian""]","[""lunch/dinner""]","[""main course""]"
"Soba Noodles with Kale, Slivered Brussels Sprouts and Sesame Dressing recipes",katieatthekitchendoor.com,http://katieatthekitchendoor.com/2013/03/19/book-club-vegetable-literacy-soba-noodles-with-kale-sesame-and-slivered-brussels-sprouts/,4,1284.052384767126,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/026fefb5da9224989c868e189c64c2636d49c3bd123fa6745a7dd5ab14bfacbb/21088961.jpeg,"[""Balanced""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat""]","[""asian""]","[""lunch/dinner""]","[""main course""]"
Crispy Tofu & Rice Noodles in Red Curry Coconut Sauce,tastykitchen.com,https://tastykitchen.com/recipes/special-dietary-needs/vegetarian/crispy-tofu-rice-noodles-in-red-curry-coconut-sauce/,6,1187.778785298125,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/029f7b74ead55f24e9f4a23e80d16b9c852be88dd24826c078c4bd74d0e5c4ce/21122034.jpg,[],"[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites"",""FODMAP""]","[""asian""]","[""lunch/dinner""]","[""main course""]"
Spicy Thai Noodle Salad,Delish,http://www.delish.com/cooking/recipe-ideas/recipes/a36237/spicy-thai-noodle-salad-recipe-ghk0314/,4,2551.740358998476,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/02ab0d2218f6ee9d38944a251721e34bc0d1f6b6969e2bd8035d068e721b227b/21110830.jpg,"[""Balanced"",""High-Fiber""]","[""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Shellfish-Free""]","[""Shellfish"",""Sulfites"",""FODMAP""]","[""asian"",""south east asian""]","[""lunch/dinner""]","[""salad""]"
Polish Noodles,Allrecipes,https://www.allrecipes.com/recipe/82135/polish-noodles,8,3469.411600686691,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/02f605043483756ba6bc780ba5a82b5a780cb9058c26dcad901c6cb51a54390d/21023418.jpg,"[""High-Fiber""]","[""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""asian"",""eastern europe""]","[""lunch/dinner""]","[""main course""]"
Tuscan Pork with Chickpeas & Spinach,blog.myfitnesspal.com,https://blog.myfitnesspal.com/tuscan-pork-with-chickpeas-spinach/,6,2912.168965932521,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0190ab07124bd1c4e9956bf5065d3d4781ba3d7a0859b3bf531e7109747f2a18/21126802.jpg,"[""High-Fiber"",""Low-Carb""]","[""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""main course""]"
Rum Flavored Fruit Salad,McCormick,http://www.mccormick.com/Recipes/Dessert/Rum-Flavored-Fruit-Salad,12,807.6089999994572,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0196cbf5ce57bdfb2947b475b145a3e9943dd65bc054f8f994905327d8c10751/21100404.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Wheat"",""Sulfites""]","[""american""]","[""snack""]","[""salad""]"
brisket & cabbage,eatsomethingsexy.com,http://eatsomethingsexy.com/brisket-cabbage/,20,6802.7506,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/019a27b2df59cf69602bcf06c3740493508205287b342bde242188e921e00684/21121412.jpg,"[""High-Protein"",""Low-Carb""]","[""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""british""]","[""lunch/dinner""]","[""main course""]"
